,0 days 00:30:00,0 days 01:00:00,0 days 01:30:00,0 days 02:00:00,0 days 02:30:00,0 days 03:00:00,0 days 03:30:00,0 days 04:00:00,0 days 04:30:00,0 days 05:00:00,0 days 05:30:00,0 days 06:00:00,0 days 06:30:00,0 days 07:00:00,0 days 07:30:00,0 days 08:00:00,0 days 08:30:00,0 days 09:00:00,0 days 09:30:00,0 days 10:00:00,0 days 10:30:00,0 days 11:00:00,0 days 11:30:00,0 days 12:00:00,0 days 12:30:00,0 days 13:00:00,0 days 13:30:00,0 days 14:00:00,0 days 14:30:00,0 days 15:00:00,0 days 15:30:00,0 days 16:00:00,0 days 16:30:00,0 days 17:00:00,0 days 17:30:00,0 days 18:00:00,0 days 18:30:00,0 days 19:00:00,0 days 19:30:00,0 days 20:00:00,0 days 20:30:00,0 days 21:00:00,0 days 21:30:00,0 days 22:00:00,0 days 22:30:00,0 days 23:00:00,0 days 23:30:00,1 days 00:00:00,ahead_time
31,0.19418065315020713,0.26912350222866055,0.35825625011428475,0.4392314465696137,0.4993002353719158,0.5487944338599697,0.5953408575487442,0.6350973896024382,0.6671263126128265,0.6982592297928492,0.7186353539090621,0.7393818607061705,0.7526917050572707,0.7705227451651715,0.7872572926189194,0.801216556000697,0.8157017139618676,0.8285340519778054,0.8409170463792612,0.8549392185258765,0.864984309161095,0.8750873430648072,0.8824160690245015,0.8911030299107058,0.9015574074474298,0.9110056507898413,0.9218749804613158,0.9329450317313527,0.9447217231001104,0.9598594823327506,0.9772564555905168,1.0,0.9775914678257988,0.9622273466490938,0.9498966070374583,0.9397842860440834,0.9278992034552572,0.9195077459986261,0.9141138008944064,0.9087585216779508,0.9016792911172506,0.8915627390752805,0.8828986063733536,0.8749546356665486,0.8624442023749032,0.8583597278977009,0.852706884309688,0.8461016135074557,0 days 16:00:00
32,0.1956570162132879,0.26945795558615776,0.35654279022772983,0.4371712315199117,0.4964460206667845,0.5474163667825092,0.5920083314782632,0.6320056672003622,0.6647177010498787,0.6967129506584618,0.7181283583407293,0.7415977429207593,0.7535733547100276,0.7690869216536229,0.7852124780604972,0.7987523068650962,0.8100251794676351,0.8200587328395312,0.8351660496851427,0.8478124772208515,0.8601900932891039,0.8678114339017647,0.8778505633522834,0.8852763056974879,0.8955353451480155,0.9030422101456966,0.913497430270178,0.9239353103176661,0.9346205892878888,0.9496352358292514,0.9637160048396552,0.9775914678257988,0.9999999999999999,0.979244218214016,0.964406509433195,0.9538772192106836,0.9416644163330308,0.9317640152016661,0.9262105624296888,0.9209223196430186,0.9139756547975867,0.9042462762705085,0.8930834495499508,0.8833619755395432,0.8707841776024352,0.8660760745604374,0.8604950081552862,0.8519971995963487,0 days 16:30:00
33,0.1941076464204001,0.26656317029126575,0.35493785021709745,0.43596218196969966,0.49259740300117216,0.5420543516556559,0.5865022864966986,0.6247351410963593,0.6579769556783003,0.6928000512687328,0.7147719851245217,0.737808519045745,0.7506970083982198,0.7666392243011985,0.7840606612646877,0.7966889736318992,0.8079715639209305,0.8177050116270306,0.8297235261495272,0.8426876084019889,0.854532554750822,0.8608101757126525,0.8715237214796778,0.8782154916962474,0.8895075839066403,0.8972830490988207,0.9069664096049977,0.9152016833698815,0.924276493606382,0.9369016896586011,0.9513266454817604,0.9622273466490938,0.979244218214016,1.0,0.9792164027685479,0.9644308504459186,0.9502782122744232,0.9410668568930065,0.9342406395681555,0.9264194062322785,0.9205504384838648,0.9114525002748937,0.9001634073666771,0.8909103292788467,0.8781042288766965,0.8723932774429817,0.8665766023554419,0.8583678378330732,0 days 17:00:00
34,0.19632194092054125,0.267613840238299,0.3543040272595596,0.4369228889605149,0.4917791047247661,0.5401091848091619,0.5850658047623686,0.6223333341074684,0.6558376201803117,0.6912470576077042,0.712352978246302,0.734918581489998,0.7474738748718526,0.7630051419552649,0.7796011853648774,0.7927959536137139,0.8039740847117773,0.8138445643481591,0.825566462729373,0.8364992641380722,0.8494927339935612,0.8551137016238519,0.8637432048786025,0.8706248505888452,0.8821402123263052,0.8896127782097321,0.8993871409689548,0.9075341842004327,0.9158391302012334,0.927482495220573,0.9396392008431346,0.9498966070374583,0.964406509433195,0.9792164027685479,1.0,0.9789384124959506,0.9632028369753193,0.9538844529735635,0.946259077714683,0.9377432186817206,0.9306959914622256,0.9216944334154205,0.9104119581516399,0.9009750567552134,0.8887082029529905,0.8832265378320493,0.8758607466312864,0.8673698911730924,0 days 17:30:00
35,0.19834343634659665,0.26961827421922163,0.35424169181745707,0.4345887611696519,0.48942521615042234,0.53763856249698,0.5809400992026736,0.6187741969455498,0.6513334319239239,0.6877080049954618,0.7090823891462485,0.7299230371335176,0.7438485785720909,0.7600133741758927,0.7739159576194885,0.7876580615995635,0.7985472470742473,0.8095312528608528,0.8223832106100998,0.8338577419544727,0.8443076227183268,0.8502815827841489,0.8596628651295959,0.8648739870423141,0.8753576719800223,0.8824880329196593,0.8931005824381664,0.9004077452063527,0.9081530298184054,0.9198486588976413,0.930752384100554,0.9397842860440835,0.9538772192106836,0.9644308504459187,0.9789384124959506,0.9999999999999999,0.9781009556434352,0.96818466904383,0.9593972788044383,0.9509318666699642,0.9421174228185822,0.9325474555369524,0.9195762692979951,0.9109008587690838,0.898631133920182,0.8933899592340468,0.8836575222652124,0.8753748253849878,0 days 18:00:00
36,0.19559008810044165,0.26734338958026344,0.35195542324169293,0.4303115929393726,0.4856963209414269,0.535109228325871,0.578139152318498,0.6153268639130228,0.6459859985901802,0.6833768857898664,0.7036267667716248,0.7254424269621728,0.7394999814533323,0.7539162041989687,0.7702346723616331,0.7851957619992832,0.796003934488085,0.8055101824601035,0.8187811578122852,0.8289531556465772,0.8390553893304471,0.8449572034502756,0.8521829880358451,0.8569678157744169,0.8664212244570686,0.8751153330902955,0.8840643864646371,0.8913327361575333,0.8998189162020914,0.9102729896718368,0.9204010283089078,0.9278992034552572,0.9416644163330307,0.9502782122744232,0.9632028369753192,0.9781009556434354,1.0,0.9822741764833752,0.9716053197319555,0.9621016774223552,0.9529092478586269,0.942150810231301,0.9301721300823127,0.9196555835001805,0.907165220986178,0.9013560428355304,0.8919487898409754,0.8832941512668537,0 days 18:30:00
37,0.1958158337147103,0.2678164431044935,0.354647697116633,0.4331417089973555,0.4858317274691288,0.5349442820576427,0.5757278546990913,0.6124568400724267,0.6435100298862726,0.6796524997674761,0.7017245466263462,0.7204547338938024,0.7340842019246594,0.7488424268839988,0.7639407476789776,0.7778718606051526,0.7891137328497867,0.7975742868551823,0.8114967726659956,0.8225600292931257,0.832111112851846,0.8388275794629226,0.8464734481231176,0.850251578501953,0.8599868430103796,0.8675942792873249,0.8768690342559299,0.883529962465055,0.8922785934257281,0.903792305932316,0.9111903056561697,0.9195077459986262,0.9317640152016661,0.9410668568930065,0.9538844529735635,0.96818466904383,0.9822741764833752,1.0,0.9825231642246649,0.9712934795084702,0.9612980699488725,0.9509834520268202,0.9386638806895553,0.928994148773733,0.9161841677943361,0.9098810002736395,0.8985416060783917,0.8887205018636242,0 days 19:00:00
38,0.19776689312013476,0.26766049067795816,0.3531133582534624,0.43225172357218944,0.4867663097375888,0.5349368965270381,0.5749022995511066,0.612425982330503,0.6414456006388574,0.6754802200335233,0.6977661868186708,0.7192381643720385,0.733155177862024,0.7476056553147027,0.7611989987394696,0.7764617522528697,0.7873452678675779,0.7963798520115641,0.808635186845303,0.8190191615428108,0.828114922187862,0.8346298338938014,0.8425020378030612,0.8466425354578394,0.8578544323687471,0.8640431003370079,0.8718814337455573,0.8784431788264265,0.8873034347199076,0.8974104894187508,0.905942664057368,0.9141138008944064,0.9262105624296889,0.9342406395681555,0.946259077714683,0.9593972788044384,0.9716053197319556,0.9825231642246649,1.0,0.9811610189488799,0.9704117302135887,0.9580374977583047,0.9457800329628616,0.9370869282748808,0.9232190222622056,0.9163076524808644,0.9056867538413849,0.8943511640917516,0 days 19:30:00
39,0.19888217177836748,0.2667537906949623,0.35298410878056447,0.4314419717615759,0.486340895200262,0.5341987613387166,0.5752468442845547,0.6130488130917927,0.6413215287887961,0.6755210200684016,0.6976507467502099,0.7180979717542945,0.7325831885613702,0.7468076456404066,0.7597735795739581,0.7733700927965541,0.7842834965432317,0.7925680977040326,0.8047385626053016,0.8145573923064234,0.8247945583502924,0.8307808653873788,0.8387244546761329,0.8438565028654968,0.8522619412275979,0.8596063631123028,0.867987005704479,0.8743489522823193,0.8833540839397592,0.892111566425483,0.9014759080165634,0.9087585216779508,0.9209223196430186,0.9264194062322786,0.9377432186817206,0.9509318666699641,0.9621016774223551,0.9712934795084702,0.9811610189488799,1.0,0.9821219855212004,0.9685565898057699,0.9534459013102161,0.9437296364841219,0.9291025703397077,0.9197258636551133,0.9085292451462732,0.8965784861843039,0 days 20:00:00
40,0.20387888596666168,0.26999364145462373,0.35493889536902323,0.4326764815197565,0.4894381163650778,0.5330420865576935,0.575467838447124,0.6097109872524168,0.6384320594713343,0.6726029734089775,0.6945348194284067,0.7141959166133818,0.7300550978695987,0.7449333397623017,0.7572585953517976,0.7710923949600244,0.7821600791645661,0.7902036527791416,0.801218939419884,0.811900982972839,0.8207968878214773,0.8265371648308057,0.8350327238371812,0.838832884535142,0.8480001251626774,0.8539957495537868,0.8635428792403274,0.8696825367445206,0.8771786404020344,0.8853484887725681,0.894388844045964,0.9016792911172505,0.9139756547975867,0.9205504384838646,0.9306959914622256,0.9421174228185822,0.952909247858627,0.9612980699488725,0.9704117302135887,0.9821219855212004,1.0,0.9810490288956439,0.9659269495966564,0.9550800907219482,0.9385575253343506,0.9280257579589283,0.9134127783130045,0.9005597759943063,0 days 20:30:00
