,0,ahead_time
0,1068.7558019451053,0 days 00:30:00
1,1068.306762473832,0 days 01:00:00
2,645.3931061959512,0 days 01:30:00
3,442.781474299407,0 days 02:00:00
4,312.98930173280496,0 days 02:30:00
5,223.5074732826518,0 days 03:00:00
6,196.540279173507,0 days 03:30:00
7,190.02865005470892,0 days 04:00:00
8,190.71345435289174,0 days 04:30:00
9,172.27074263656152,0 days 05:00:00
10,157.19133909328355,0 days 05:30:00
11,144.00381817966795,0 days 06:00:00
12,130.52785213947104,0 days 06:30:00
13,120.28593849937111,0 days 07:00:00
14,120.75298473555776,0 days 07:30:00
15,114.30982173885022,0 days 08:00:00
16,114.82391374058456,0 days 08:30:00
17,106.92268060870816,0 days 09:00:00
18,109.09678918910441,0 days 09:30:00
19,111.11318900220239,0 days 10:00:00
20,107.56219157469201,0 days 10:30:00
21,104.98431054790348,0 days 11:00:00
22,104.47848548282958,0 days 11:30:00
23,105.69334061192463,0 days 12:00:00
24,101.23328782951972,0 days 12:30:00
25,99.80719460283206,0 days 13:00:00
26,99.4864682578028,0 days 13:30:00
27,94.43329754844221,0 days 14:00:00
28,93.32566242252847,0 days 14:30:00
29,92.92497608009793,0 days 15:00:00
30,90.97945113998486,0 days 15:30:00
31,91.23333199103551,0 days 16:00:00
32,95.60192977758548,0 days 16:30:00
33,93.1981539583764,0 days 17:00:00
34,92.97066396416606,0 days 17:30:00
35,96.30995799294459,0 days 18:00:00
36,96.20809004108806,0 days 18:30:00
37,100.56269832331704,0 days 19:00:00
38,103.35086428121838,0 days 19:30:00
39,105.65180616087895,0 days 20:00:00
40,108.49659997332728,0 days 20:30:00
41,107.78877484360024,0 days 21:00:00
42,108.16270698090027,0 days 21:30:00
43,109.07093640249478,0 days 22:00:00
44,114.18905696213682,0 days 22:30:00
45,115.74985139350265,0 days 23:00:00
46,118.8087985944252,0 days 23:30:00
47,116.05547991307238,1 days 00:00:00
